warehouse_name,date,storage,next_day_storage
Aluminum Foil,2024-05-07,510,438.0
Aluminum Foil,2024-05-08,438,345.0
Aluminum Foil,2024-05-09,345,307.0
Aluminum Foil,2024-05-10,307,283.0
Aluminum Foil,2024-05-11,283,287.0
Aluminum Foil,2024-05-12,287,288.0
Aluminum Foil,2024-05-13,288,311.0
Aluminum Foil,2024-05-14,311,293.0
Aluminum Foil,2024-05-15,293,285.0
Aluminum Foil,2024-05-16,285,538.0
Aluminum Foil,2024-05-17,538,497.0
Aluminum Foil,2024-05-18,497,366.0
Aluminum Foil,2024-05-19,366,293.0
Aluminum Foil,2024-05-20,293,266.0
Aluminum Foil,2024-05-21,266,255.0
Aluminum Foil,2024-05-22,255,251.0
Aluminum Foil,2024-05-23,251,234.0
Aluminum Foil,2024-05-24,234,216.0
Aluminum Foil,2024-05-25,216,212.0
Aluminum Foil,2024-05-26,212,229.0
Aluminum Foil,2024-05-27,229,226.0
Aluminum Foil,2024-05-28,226,225.0
Aluminum Foil,2024-05-29,225,223.0
Aluminum Foil,2024-05-30,223,222.0
Aluminum Foil,2024-05-31,222,214.0
Aluminum Foil,2024-06-01,214,205.0
Aluminum Foil,2024-06-02,205,221.0
Aluminum Foil,2024-06-03,221,226.0
Aluminum Foil,2024-06-04,226,228.0
Aluminum Foil,2024-06-05,228,
Baking Soda,2024-02-05,97,102.0
Baking Soda,2024-02-06,102,103.0
Baking Soda,2024-02-07,103,100.0
Baking Soda,2024-02-08,100,105.0
Baking Soda,2024-02-09,105,98.0
Baking Soda,2024-02-10,98,96.0
Baking Soda,2024-02-11,96,98.0
Baking Soda,2024-02-12,98,106.0
Baking Soda,2024-02-13,106,104.0
Baking Soda,2024-02-14,104,104.0
Baking Soda,2024-02-15,104,102.0
Baking Soda,2024-02-16,102,96.0
Baking Soda,2024-02-17,96,96.0
Baking Soda,2024-02-18,96,102.0
Baking Soda,2024-02-19,102,113.0
Baking Soda,2024-02-20,113,109.0
Baking Soda,2024-02-21,109,118.0
Baking Soda,2024-02-22,118,121.0
Baking Soda,2024-02-23,121,109.0
Baking Soda,2024-02-24,109,107.0
Baking Soda,2024-02-25,107,114.0
Baking Soda,2024-02-26,114,110.0
Baking Soda,2024-02-27,110,110.0
Baking Soda,2024-02-28,110,116.0
Baking Soda,2024-02-29,116,113.0
Baking Soda,2024-03-01,113,116.0
Baking Soda,2024-03-02,116,112.0
Baking Soda,2024-03-03,112,121.0
Baking Soda,2024-03-04,121,121.0
Baking Soda,2024-03-05,121,127.0
Baking Soda,2024-03-06,127,128.0
Baking Soda,2024-03-07,128,133.0
Baking Soda,2024-03-08,133,123.0
Baking Soda,2024-03-09,123,116.0
Baking Soda,2024-03-10,116,129.0
Baking Soda,2024-03-11,129,131.0
Baking Soda,2024-03-12,131,129.0
Baking Soda,2024-03-13,129,126.0
Baking Soda,2024-03-14,126,125.0
Baking Soda,2024-03-15,125,116.0
Baking Soda,2024-03-16,116,110.0
Baking Soda,2024-03-17,110,120.0
Baking Soda,2024-03-18,120,129.0
Baking Soda,2024-03-19,129,125.0
Baking Soda,2024-03-20,125,128.0
Baking Soda,2024-03-21,128,127.0
Baking Soda,2024-03-22,127,124.0
Baking Soda,2024-03-23,124,122.0
Baking Soda,2024-03-24,122,126.0
Baking Soda,2024-03-25,126,143.0
Baking Soda,2024-03-26,143,145.0
Baking Soda,2024-03-27,145,143.0
Baking Soda,2024-03-28,143,162.0
Baking Soda,2024-03-29,162,155.0
Baking Soda,2024-03-30,155,146.0
Baking Soda,2024-03-31,146,158.0
Baking Soda,2024-04-01,158,166.0
Baking Soda,2024-04-02,166,148.0
Baking Soda,2024-04-03,148,142.0
Baking Soda,2024-04-04,142,118.0
Baking Soda,2024-04-05,118,97.0
Baking Soda,2024-04-06,97,103.0
Baking Soda,2024-04-07,103,112.0
Baking Soda,2024-04-08,112,114.0
Baking Soda,2024-04-09,114,125.0
Baking Soda,2024-04-10,125,134.0
Baking Soda,2024-04-11,134,155.0
Baking Soda,2024-04-12,155,145.0
Baking Soda,2024-04-13,145,147.0
Baking Soda,2024-04-14,147,145.0
Baking Soda,2024-04-15,145,149.0
Baking Soda,2024-04-16,149,140.0
Baking Soda,2024-04-17,140,151.0
Baking Soda,2024-04-18,151,157.0
Baking Soda,2024-04-19,157,148.0
Baking Soda,2024-04-20,148,155.0
