warehouse name,date,storage,next_day_storage,lstm,mamba,count
SC01,2024-02-05,39517,,,,1
SC01,2024-02-06,40008,40008.0,,,2
SC01,2024-02-07,38477,38477.0,42537.0,,3
SC01,2024-02-08,35773,35773.0,40422.0,33764.0,4
SC01,2024-02-09,31876,31876.0,28915.0,33229.0,5
SC01,2024-02-10,31319,31319.0,33806.0,34840.0,6
SC01,2024-02-11,29584,29584.0,29751.0,25111.0,7
SC01,2024-02-12,33034,33034.0,37885.0,32326.0,8
SC01,2024-02-13,34242,34242.0,33839.0,34001.0,9
SC01,2024-02-14,34123,34123.0,32126.0,36774.0,10
SC01,2024-02-15,33589,33589.0,34818.0,31669.0,11
SC01,2024-02-16,33793,33793.0,29655.0,37855.0,12
SC01,2024-02-17,31308,31308.0,35021.0,32547.0,13
SC01,2024-02-18,31785,31785.0,30875.0,34147.0,14
SC01,2024-02-19,34678,34678.0,30403.0,31238.0,15
SC01,2024-02-20,35694,35694.0,37945.0,34281.0,16
SC01,2024-02-21,36006,36006.0,40282.0,38864.0,17
SC01,2024-02-22,36039,36039.0,38592.0,38749.0,18
SC01,2024-02-23,37610,37610.0,36371.0,35829.0,19
SC01,2024-02-24,34386,34386.0,36810.0,33453.0,20
SC01,2024-02-25,35922,35922.0,40440.0,35840.0,21
SC01,2024-02-26,36408,36408.0,36570.0,38035.0,22
SC01,2024-02-27,36657,36657.0,40919.0,40364.0,23
SC01,2024-02-28,37910,37910.0,42804.0,39057.0,24
SC01,2024-02-29,39080,39080.0,41911.0,40479.0,25
SC01,2024-03-01,37218,37218.0,36702.0,32239.0,26
SC01,2024-03-02,36814,36814.0,38949.0,36995.0,27
SC01,2024-03-03,36179,36179.0,35098.0,34084.0,28
SC01,2024-03-04,38688,38688.0,38517.0,41905.0,29
SC01,2024-03-05,40087,40087.0,44957.0,41784.0,30
SC01,2024-03-06,40664,40664.0,36763.0,39232.0,31
SC01,2024-03-07,44955,44955.0,47399.0,47088.0,32
SC01,2024-03-08,45716,45716.0,45407.0,49669.0,33
SC01,2024-03-09,40073,40073.0,42902.0,41705.0,34
SC01,2024-03-10,38701,38701.0,37608.0,38689.0,35
SC01,2024-03-11,39932,39932.0,38116.0,35805.0,36
SC01,2024-03-12,43154,43154.0,38367.0,42430.0,37
SC01,2024-03-13,46353,46353.0,46479.0,44554.0,38
SC01,2024-03-14,42481,42481.0,43101.0,46303.0,39
SC01,2024-03-15,41695,41695.0,39915.0,36850.0,40
SC01,2024-03-16,39697,39697.0,43615.0,42098.0,41
SC01,2024-03-17,38400,38400.0,35178.0,36117.0,42
