warehouse name,date,storage,next_day_storage,lstm,mambar,count
SC01,8/1/2023,39517,,,,1
SC01,8/2/2023,40008,40008,,,2
SC01,8/3/2023,38477,38477,38477,,3
SC01,8/4/2023,35773,35773,35773,35773,4
SC01,8/5/2023,31876,31876,31876,31876,5
SC01,8/6/2023,31319,31319,31319,31319,6
SC01,8/7/2023,29584,29584,29584,29584,7
SC01,8/8/2023,33034,33034,33034,33034,8
SC01,8/9/2023,34242,34242,34242,34242,9
SC01,8/10/2023,34123,34123,34123,34123,10
SC01,8/11/2023,33589,33589,33589,33589,11
SC01,8/12/2023,33793,33793,33793,33793,12
SC01,8/13/2023,31308,31308,31308,31308,13
SC01,8/14/2023,31785,31785,31785,31785,14
SC01,8/15/2023,34678,34678,34678,34678,15
SC01,8/16/2023,35694,35694,35694,35694,16
SC01,8/17/2023,36006,36006,36006,36006,17
SC01,8/18/2023,36039,36039,36039,36039,18
SC01,8/19/2023,37610,37610,37610,37610,19
SC01,8/20/2023,34386,34386,34386,34386,20
SC01,8/21/2023,35922,35922,35922,35922,21
SC01,8/22/2023,36408,36408,36408,36408,22
SC01,8/23/2023,36657,36657,36657,36657,23
SC01,8/24/2023,37910,37910,37910,37910,24
SC01,8/25/2023,39080,39080,39080,39080,25
SC01,8/26/2023,37218,37218,37218,37218,26
SC01,8/27/2023,36814,36814,36814,36814,27
SC01,8/28/2023,36179,36179,36179,36179,28
SC01,8/29/2023,38688,38688,38688,38688,29
SC01,8/30/2023,40087,40087,40087,40087,30
SC01,8/31/2023,40664,40664,40664,40664,31
SC01,9/1/2023,44955,44955,44955,44955,32
SC01,9/2/2023,45716,45716,45716,45716,33
SC01,9/3/2023,40073,40073,40073,40073,34
SC01,9/4/2023,38701,38701,38701,38701,35
SC01,9/5/2023,39932,39932,39932,39932,36
SC01,9/6/2023,43154,43154,43154,43154,37
SC01,9/7/2023,46353,46353,46353,46353,38
SC01,9/8/2023,42481,42481,42481,42481,39
SC01,9/9/2023,41695,41695,41695,41695,40
SC01,9/10/2023,39697,39697,39697,39697,41
SC01,9/11/2023,38400,38400,38400,38400,42
SC01,9/12/2023,39122,39122,39122,39122,43
SC01,9/13/2023,43296,43296,43296,43296,44
SC01,9/14/2023,43579,43579,43579,43579,45
SC01,9/15/2023,42150,42150,42150,42150,46
SC01,9/16/2023,43131,43131,43131,43131,47
SC01,9/17/2023,40851,40851,40851,40851,48
SC01,9/18/2023,41287,41287,41287,41287,49
SC01,9/19/2023,43304,43304,43304,43304,50
SC01,9/20/2023,45579,45579,45579,45579,51
SC01,9/21/2023,47715,47715,47715,47715,52
SC01,9/22/2023,47240,47240,47240,47240,53
SC01,9/23/2023,47051,47051,47051,47051,54
SC01,9/24/2023,48767,48767,48767,48767,55
SC01,9/25/2023,45919,45919,45919,45919,56
SC01,9/26/2023,49085,49085,49085,49085,57
SC01,9/27/2023,47858,47858,47858,47858,58
SC01,9/28/2023,42365,42365,42365,42365,59
SC01,9/29/2023,35506,35506,35506,35506,60
SC01,9/30/2023,31313,31313,31313,31313,61
SC01,10/1/2023,30105,30105,30105,30105,62
SC01,10/2/2023,26567,26567,26567,26567,63
SC01,10/3/2023,27154,27154,27154,27154,64
SC01,10/4/2023,27801,27801,27801,27801,65
SC01,10/5/2023,32019,32019,32019,32019,66
SC01,10/6/2023,32791,32791,32791,32791,67
SC01,10/7/2023,37052,37052,37052,37052,68
SC01,10/8/2023,41362,41362,41362,41362,69
SC01,10/9/2023,38656,38656,38656,38656,70
SC01,10/10/2023,38319,38319,38319,38319,71
SC01,10/11/2023,39627,39627,39627,39627,72
SC01,10/12/2023,41885,41885,41885,41885,73
SC01,10/13/2023,41697,41697,41697,41697,74
SC01,10/14/2023,39689,39689,39689,39689,75
SC01,10/15/2023,38619,38619,38619,38619,76
SC01,10/16/2023,36954,36954,36954,36954,77
SC01,10/17/2023,40750,40750,40750,40750,78
SC01,10/18/2023,43666,43666,43666,43666,79
SC01,10/19/2023,42066,42066,42066,42066,80
SC01,10/20/2023,49307,49307,49307,49307,81
SC01,10/21/2023,43694,43694,43694,43694,82
SC01,10/22/2023,39941,39941,39941,39941,83
SC01,10/23/2023,42015,42015,42015,42015,84
SC01,10/24/2023,69918,69918,69918,69918,85
SC01,10/25/2023,61167,61167,61167,61167,86
SC01,10/26/2023,55018,55018,55018,55018,87
SC01,10/27/2023,55915,55915,55915,55915,88
SC01,10/28/2023,53443,53443,53443,53443,89
SC01,10/29/2023,48554,48554,48554,48554,90
SC01,10/30/2023,44495,44495,44495,44495,91
SC01,10/31/2023,49178,49178,49178,49178,92
SC01,11/1/2023,102030,102030,102030,102030,93
SC01,11/2/2023,87732,87732,87732,87732,94
SC01,11/3/2023,69025,69025,69025,69025,95
SC01,11/4/2023,61433,61433,61433,61433,96
SC01,11/5/2023,56707,56707,56707,56707,97
SC01,11/6/2023,57491,57491,57491,57491,98
SC01,11/7/2023,57672,57672,57672,57672,99
SC01,11/8/2023,62365,62365,62365,62365,100
SC01,11/9/2023,58697,58697,58697,58697,101
SC01,11/10/2023,57044,57044,57044,57044,102
SC01,11/11/2023,107715,107715,107715,107715,103
SC01,11/12/2023,99577,99577,99577,99577,104
SC01,11/13/2023,73365,73365,73365,73365,105
SC01,11/14/2023,58689,58689,58689,58689,106
SC01,11/15/2023,53282,53282,53282,53282,107
SC01,11/16/2023,51085,51085,51085,51085,108
SC01,11/17/2023,50218,50218,50218,50218,109
SC01,11/18/2023,46956,46956,46956,46956,110
SC01,11/19/2023,43396,43396,43396,43396,111
SC01,11/20/2023,42414,42414,42414,42414,112
SC01,11/21/2023,45994,45994,45994,45994,113
SC01,11/22/2023,45352,45352,45352,45352,114
SC01,11/23/2023,45169,45169,45169,45169,115
SC01,11/24/2023,44719,44719,44719,44719,116
SC01,11/25/2023,44496,44496,44496,44496,117
SC01,11/26/2023,42879,42879,42879,42879,118
SC01,11/27/2023,41085,41085,41085,41085,119
SC01,11/28/2023,44200,44200,44200,44200,120
SC01,11/29/2023,45217,45217,45217,45217,121
SC01,11/30/2023,45707,45707,45707,45707,122
SC10,8/1/2023,19533,,,,1
SC10,8/2/2023,20483,20483,20483,20483,2
SC10,8/3/2023,20768,20768,20768,20768,3
SC10,8/4/2023,20166,20166,20166,20166,4
SC10,8/5/2023,21161,21161,21161,21161,5
SC10,8/6/2023,19716,19716,19716,19716,6
SC10,8/7/2023,19273,19273,19273,19273,7
SC10,8/8/2023,19756,19756,19756,19756,8
SC10,8/9/2023,21234,21234,21234,21234,9
SC10,8/10/2023,20821,20821,20821,20821,10
SC10,8/11/2023,20911,20911,20911,20911,11
SC10,8/12/2023,20578,20578,20578,20578,12
SC10,8/13/2023,19260,19260,19260,19260,13
SC10,8/14/2023,19200,19200,19200,19200,14
SC10,8/15/2023,20453,20453,20453,20453,15
SC10,8/16/2023,22603,22603,22603,22603,16
SC10,8/17/2023,21988,21988,21988,21988,17
SC10,8/18/2023,23710,23710,23710,23710,18
SC10,8/19/2023,24223,24223,24223,24223,19
SC10,8/20/2023,21915,21915,21915,21915,20
SC10,8/21/2023,21599,21599,21599,21599,21
SC10,8/22/2023,22825,22825,22825,22825,22
SC10,8/23/2023,22108,22108,22108,22108,23
SC10,8/24/2023,22048,22048,22048,22048,24
SC10,8/25/2023,23200,23200,23200,23200,25
SC10,8/26/2023,22670,22670,22670,22670,26
SC10,8/27/2023,23390,23390,23390,23390,27
SC10,8/28/2023,22531,22531,22531,22531,28
SC10,8/29/2023,24233,24233,24233,24233,29
SC10,8/30/2023,24273,24273,24273,24273,30
SC10,8/31/2023,25541,25541,25541,25541,31
SC10,9/1/2023,25605,25605,25605,25605,32
SC10,9/2/2023,26602,26602,26602,26602,33
SC10,9/3/2023,24753,24753,24753,24753,34
SC10,9/4/2023,23238,23238,23238,23238,35
SC10,9/5/2023,25825,25825,25825,25825,36
SC10,9/6/2023,26200,26200,26200,26200,37
SC10,9/7/2023,25857,25857,25857,25857,38
SC10,9/8/2023,25254,25254,25254,25254,39
SC10,9/9/2023,25070,25070,25070,25070,40
SC10,9/10/2023,23297,23297,23297,23297,41
SC10,9/11/2023,22073,22073,22073,22073,42
SC10,9/12/2023,24180,24180,24180,24180,43
SC10,9/13/2023,25809,25809,25809,25809,44
SC10,9/14/2023,25149,25149,25149,25149,45
SC10,9/15/2023,25750,25750,25750,25750,46
SC10,9/16/2023,25489,25489,25489,25489,47
SC10,9/17/2023,24913,24913,24913,24913,48
SC10,9/18/2023,24496,24496,24496,24496,49
SC10,9/19/2023,25383,25383,25383,25383,50
SC10,9/20/2023,28749,28749,28749,28749,51
SC10,9/21/2023,29149,29149,29149,29149,52
SC10,9/22/2023,28720,28720,28720,28720,53
SC10,9/23/2023,32594,32594,32594,32594,54
SC10,9/24/2023,31112,31112,31112,31112,55
SC10,9/25/2023,29238,29238,29238,29238,56
SC10,9/26/2023,31735,31735,31735,31735,57
SC10,9/27/2023,33244,33244,33244,33244,58
SC10,9/28/2023,29798,29798,29798,29798,59
SC10,9/29/2023,28590,28590,28590,28590,60
SC10,9/30/2023,23604,23604,23604,23604,61
SC10,10/1/2023,19562,19562,19562,19562,62
SC10,10/2/2023,20713,20713,20713,20713,63
SC10,10/3/2023,22581,22581,22581,22581,64
SC10,10/4/2023,22961,22961,22961,22961,65
SC10,10/5/2023,25194,25194,25194,25194,66
SC10,10/6/2023,26844,26844,26844,26844,67
SC10,10/7/2023,31103,31103,31103,31103,68
SC10,10/8/2023,29053,29053,29053,29053,69
SC10,10/9/2023,29406,29406,29406,29406,70
